UF;Municipio;Codigo_TOM_SERPRO;cod_IBGE
RO;GUAJARA-MIRIM;1;1100106
RO;ALTOALEGREDOSPARECIS;2;1100379
RO;PORTOVELHO;3;1100205
RO;BURITIS;4;1100452
RO;JI-PARANA;5;1100122
RO;CHUPINGUAIA;6;1100924
RO;ARIQUEMES;7;1100023
RO;CUJUBIM;8;1100940
RO;CACOAL;9;1100049
RO;NOVAUNIAO;10;1101435
RO;PIMENTABUENO;11;1100189
RO;PARECIS;12;1101450
RO;VILHENA;13;1100304
RO;PIMENTEIRASDOOESTE;14;1101468
RO;JARU;15;1100114
RO;PRIMAVERADERONDONIA;16;1101476
RO;OUROPRETODOOESTE;17;1100155
RO;SAOFELIPED'OESTE;18;1101484
RO;PRESIDENTEMEDICI;19;1100254
RO;SAOFRANCISCODOGUAPORE;20;1101492
RO;COSTAMARQUES;21;1100080
RO;TEIXEIROPOLIS;22;1101559
RO;COLORADODOOESTE;23;1100064
RO;VALEDOANARI;24;1101757
RO;ESPIGAOD'OESTE;25;1100098
RR;AMAJARI;26;1400027
RO;CEREJEIRAS;27;1100056
RR;CANTA;28;1400175
RO;ROLIMDEMOURA;29;1100288
RR;CAROEBE;30;1400233
RR;IRACEMA;32;1400282
RO;ALTAFLORESTAD'OESTE;33;1100015
RR;PACARAIMA;34;1400456
RO;ALVORADAD'OESTE;35;1100346
RR;RORAINOPOLIS;36;1400472
RO;CABIXI;37;1100031
RR;UIRAMUTA;38;1400704
RO;MACHADINHOD'OESTE;39;1100130
PA;ANAPU;40;1500859
RO;NOVABRASILANDIAD'OESTE;41;1100148
PA;BANNACH;42;1501253
RO;SANTALUZIAD'OESTE;43;1100296
PA;BELTERRA;44;1501451
RO;SAOMIGUELDOGUAPORE;45;1100320
PA;CACHOEIRADOPIRIA;46;1501956
RO;NOVAMAMORE;47;1100338
PA;CANAADOSCARAJAS;48;1502152
PA;CURUA;50;1502855
PA;FLORESTADOARAGUAIA;52;1503044
PA;MARITUBA;54;1504422
PA;NOVAIPIXUNA;56;1504976
PA;PICARRA;58;1505635
PA;PLACAS;60;1505650
PA;QUATIPURU;62;1506112
PA;SAOJOAODAPONTA;64;1507466
PA;SAPUCAIA;66;1507755
PA;TRACUATEUA;68;1508035
AP;VITORIADOJARI;70;1600808
TO;AGUIARNOPOLIS;72;1700301
TO;BANDEIRANTESDOTOCANTINS;74;1703057
TO;BARRADOOURO;76;1703073
TO;CHAPADADEAREIA;78;1704600
TO;CHAPADADANATIVIDADE;80;1705102
TO;CRIXASDOTOCANTINS;82;1706258
TO;IPUEIRAS;84;1709807
TO;LAVANDEIRA;86;1712157
TO;LUZINOPOLIS;88;1712454
MT;COTRIGUACU;89;5103379
TO;MONTESANTODOTOCANTINS;90;1713700
MT;PLANALTODASERRA;91;5106455
TO;OLIVEIRADEFATIMA;92;1715507
MT;SAOPEDRODACIPA;93;5107404
TO;PUGMIL;94;1718451
MT;PONTALDOARAGUAIA;95;5106653
TO;SANTARITADOTOCANTINS;96;1718899
MT;QUERENCIA;97;5107065
TO;SANTATEREZINHADOTOCANTINS;98;1720002
MT;RIBEIRAOZINHO;99;5107198
TO;TALISMA;100;1720978
MT;PORTOESTRELA;101;5106802
TO;TUPIRAMA;102;1721257
MT;NOVAMARILANDIA;103;5108857
MA;AGUADOCEDOMARANHAO;104;2100154
AC;BRASILEIA;105;1200104
MA;ALTOALEGREDOMARANHAO;106;2100436
AC;CRUZEIRODOSUL;107;1200203
MA;ALTOALEGREDOPINDARE;108;2100477
AC;MANCIOLIMA;109;1200336
MA;AMAPADOMARANHAO;110;2100550
MT;NOVAMARINGA;111;5108907
MA;APICUM-ACU;112;2100832
AC;FEIJO;113;1200302
MA;ARAGUANA;114;2100873
MT;SANTOAFONSO;115;5107263
MA;BACABEIRA;116;2101251
MT;NOVABANDEIRANTES;117;5106158
MA;BACURITUBA;118;2101350
MT;NOVAMONTEVERDE;119;5108956
MA;BELAGUA;120;2101731
MT;NOVAGUARITA;121;5108808
MA;BELAVISTADOMARANHAO;122;2101772
MT;SANTACARMEN;123;5107248
MA;BERNARDODOMEARIM;124;2101939
MT;TABAPORA;125;5107941
MA;BOAVISTADOGURUPI;126;2101970
MT;ALTOBOAVISTA;127;5100359
MA;BOMJESUSDASSELVAS;128;2102036
MT;CANABRAVADONORTE;129;5102694
MA;BOMLUGAR;130;2102077
MT;CONFRESA;131;5103353
MA;BREJODEAREIA;132;2102150
MT;SAOJOSEDOXINGU;133;5107354
MA;BURITICUPU;134;2102325
MT;GLORIAD'OESTE;135;5103957
MA;BURITIRANA;136;2102358
MT;LAMBARID'OESTE;137;5105234
MA;CACHOEIRAGRANDE;138;2102374
AC;RIOBRANCO;139;1200401
MA;CAMPESTREDOMARANHAO;140;2102556
MS;ALCINOPOLIS;141;5000252
MA;CAPINZALDONORTE;142;2102754
MS;NOVAALVORADADOSUL;143;5006002
MA;CENTRALDOMARANHAO;144;2103125
AC;SENAMADUREIRA;145;1200500
MA;CENTRODOGUILHERME;146;2103158
AC;TARAUACA;147;1200609
MA;CENTRONOVODOMARANHAO;148;2103174
AC;XAPURI;149;1200708
MA;CIDELANDIA;150;2103257
AC;PLACIDODECASTRO;151;1200385
MA;CONCEICAODOLAGO-ACU;152;2103554
AC;SENADORGUIOMARD;153;1200450
MA;DAVINOPOLIS;154;2103752
AC;MANOELURBANO;155;1200344
MA;FEIRANOVADOMARANHAO;156;2104073
AC;ASSISBRASIL;157;1200054
MA;FERNANDOFALCAO;158;2104081
MS;NOVOHORIZONTEDOSUL;159;5006259
MA;FORMOSADASERRANEGRA;160;2104099
MS;JAPORA;161;5004809
MA;GOVERNADOREDISONLOBAO;162;2104552
MS;LAGUNACARAPA;163;5005251
MA;GOVERNADORLUIZROCHA;164;2104628
TO;ANGICO;165;1701051
MA;GOVERNADORNEWTONBELLO;166;2104651
TO;ARAGOMINAS;167;1701309
MA;GOVERNADORNUNESFREIRE;168;2104677
TO;ARAGUANA;169;1702158
MA;IGARAPEDOMEIO;170;2105153
TO;CACHOEIRINHA;171;1703826
MA;ITAIPAVADOGRAJAU;172;2105351
TO;CAMPOSLINDOS;173;1703842
MA;ITINGADOMARANHAO;174;2105427
TO;CARMOLANDIA;175;1703883
MA;JATOBA;176;2105450
TO;CARRASCOBONITO;177;1703891
MA;JENIPAPODOSVIEIRAS;178;2105476
TO;DARCINOPOLIS;179;1706506
MA;JUNCODOMARANHAO;180;2105658
TO;ESPERANTINA;181;1707405
