"","mesorregiao","log_emp_mulher","crimes_patrim","crimes_contra_pessoa","escolarid_trab","pib_per_capta","empregos_formais","infra_agua","infra_esgoto","infra_internet","infra_energia","st_agro","st_ind","st_serv","trafico","contrav_penais","eq_orc_mun","rec_proprios","ideb_quinto_ano","ideb_nono_ano","crimes_sex","remun_mediana","sebrae","msau39","mppm01","mppm11","mppm13","mppm20","mppm23"
"1","centro goiano",2.69236503546884,2.65,4.69,7.66,0.93,3.08,6.4,2.98,4.44,7.99,0.04,0.04,0.02,8.18,7.35,4.02,3.96,6.1,4.6,4.01,1.7,"Não","Sim","Não","Não","Não","Não","Não"
"2","Sul goiano",2.41339707019346,5.76,5.86,5.14,1.46,1.87,4.97,2.52,2.99,4.33,1.8,0.07,0.07,3.79,6.44,3.97,3.46,6.2,5.4,6.67,2.66,"Sim","Sim","Sim","Não","Não","Não","Não"
"3","leste goiano",1.8833842877146,4.3,6.57,8.07,0.07,0.64,5.72,0.18,2.91,4.75,0.02,0.2,0.26,8.07,8.81,3.71,3.25,5.6,4.4,7.16,1.02,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"4","leste goiano",2.35183111326247,4.88,7.39,8.16,3.23,2.75,5.3,0,2.37,4.42,0.38,0.22,0.31,7.66,8.49,3,3.54,5.5,4.9,5.6,1.48,"Sim","Sim","Não","Não","Sim","Não","Não"
"5","norte goiano",2.51651198920333,7.36,6.96,7.77,4.42,4.54,6.34,0,1.34,4.22,0.08,0.36,0.03,7.41,7.43,4.03,1.63,6.6,5.3,9.15,2.91,"Sim","Sim","Não","Não","Não","Não","Não"
"6","centro goiano",2.06244396531126,8.56,8.59,6.26,0.44,0.87,6.94,0,2.23,4.93,0.24,0.01,0.01,10,8.04,4.63,0.29,5.7,5.8,8.37,0.46,"Sim","Sim","Não","Não","Não","Não","Não"
"7","centro goiano",2.47300900587296,4.88,7.02,8.16,1.98,3.54,6.22,4.41,5.61,5.53,0.42,5.7,2.07,8.3,3.86,3.12,5.83,6.3,5.4,7.49,2.6,"Sim","Sim","Sim","Não","Sim","Sim","Sim"
"8","centro goiano",2.28496349164423,8.02,8.35,3.62,0.81,1.82,5.64,3.07,2.29,3.79,0.75,0.13,0.04,9.18,8.28,2.88,2.88,7.4,5.9,8.42,1.34,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"9","centro goiano",2.15244881759609,3.62,7.3,6.52,1.07,2.77,3.45,2.07,7.07,4.77,0.08,3.79,2.13,7.85,8.65,4.35,4.73,5.6,4.6,8.22,2.12,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"10","noroeste goiano",2.12653314921369,3.91,7.32,7.56,0.24,0.69,6.8,0,3.08,4.77,0.07,0.02,0.04,2.66,7.48,4.1,0.89,6.2,4.7,9.51,1.74,"Sim","Sim","Não","Não","Não","Não","Não"
"11","centro goiano",2.29939608011111,4.19,5.25,5.22,0.2,1.16,4.95,0,1.49,5.99,0.08,0.02,0.01,7.86,8.28,3.47,3.99,5.3,4.2,6.98,1.24,"Sim","Sim","Não","Não","Não","Não","Sim"
"12","centro goiano",2.31623998970399,5.03,5.94,5.92,1.52,2.69,5.43,3.83,4.75,5.13,1.12,0.32,0.09,7.58,5.98,3.93,3.61,5.8,5.2,6.21,2.13,"Sim","Sim","Não","Não","Não","Não","Não"
"13","Sul goiano",2.34164018839273,6.84,7.52,3.05,1.77,1.72,5.49,7.65,4.04,4.51,2.4,0.07,0.09,8.75,6.55,2.33,4.32,6.3,5.2,7.34,2.2,"Sim","Sim","Não","Não","Não","Não","Sim"
"14","centro goiano",2.20226488267018,5.5,6.05,5.22,0.04,0.87,7.24,0,2.68,5.26,0.05,0.01,0.01,9.01,7.71,3.58,2.14,5.7,5.3,9.46,1.24,"Sim","Sim","Não","Não","Não","Não","Não"
"15","Sul goiano",2.50181764017186,7.91,7.43,4.41,3.28,3.39,5.25,6.66,3.82,3.72,0.87,0.7,0.05,8.44,6.26,3.41,4.17,6.2,5.5,8.39,3.15,"Sim","Sim","Não","Não","Não","Não","Não"
"16","Sul goiano",2.83683099096814,4.51,6.82,5.35,1.36,3.89,4.23,3.31,5.29,9.71,1.05,0.66,0.4,6.09,7.53,3.32,5.21,5.9,5.2,6.93,1.88,"Sim","Sim","Não","Não","Não","Não","Sim"
"17","Sul goiano",2.68795996954751,6.88,7.18,2.76,3.44,2.9,5.23,0,2.35,3.5,1.85,0.03,0.03,5.82,5.17,3.29,4.56,6.1,4.9,6.56,2.84,"Sim","Sim","Não","Não","Não","Não","Sim"
"18","norte goiano",2.44219553169495,7.14,6.93,7.72,0.36,1.45,6.93,6.17,3.51,4.16,0.12,0.02,0.04,4.88,7.02,3.4,3.51,5.3,4.7,8.52,1.19,"Sim","Sim","Não","Não","Não","Não","Não"
"19","norte goiano",2.89647731545865,9.39,4.72,8.08,0.32,1.72,9.08,0,2.99,6.89,0.07,0,0,10,7.46,3.46,1.1,5.7,5.6,8.6,0.59,"Sim","Sim","Não","Não","Não","Não","Não"
"20","Sul goiano",2.65789456938942,4.73,6.75,8.53,3.63,3.27,4.82,3.45,7.07,5.46,2.84,2.78,0.73,6.64,7.39,3.95,4.3,6.6,5.3,8.9,3.03,"Sim","Sim","Sim","Não","Não","Não","Sim"
"21","centro goiano",2.59351567940166,6.89,7.47,8.75,1.08,3.09,7.67,7.18,6.05,5.39,0.09,0.1,0.1,7.04,4.28,3.43,2.67,6.8,5.6,6.25,1.9,"Sim","Sim","Sim","Não","Sim","Não","Não"
"22","leste goiano",2.2615444776707,5.33,5.41,7.43,0.23,0.73,8.12,3.26,4.47,5.56,0.12,0.19,0.1,8.97,7.95,4.92,3.55,5,4.5,7.06,1.8,"Sim","Sim","Sim","Não","Não","Não","Sim"
"23","leste goiano",2.31545354012877,5.16,6.46,3.21,2.47,3.22,3.38,1.61,4.17,2.53,6.91,0.43,0.25,9.03,6.84,4.18,3.36,5.7,5,6.89,2.62,"Sim","Sim","Não","Não","Não","Não","Não"
"24","noroeste goiano",2.1364627979519,8.39,8.61,4.18,0.58,1.25,1.87,0.03,0.53,2.31,0.36,0,0.01,9.15,8.59,3.55,1.65,5.5,5.5,7.19,1.31,"Sim","Sim","Não","Não","Não","Não","Não"
"25","leste goiano",2.31947221256266,3.18,5.52,7.12,0.78,1.93,5.46,5.28,4.25,4.17,0.99,0.39,0.38,8.04,7.11,4.19,3.93,5.2,4.2,6.99,1.74,"Sim","Sim","Não","Não","Não","Sim","Sim"
"26","Sul goiano",2.30942662481076,7.02,5.68,5.45,0.9,1.32,7.09,0,7.24,4.52,0.15,0.04,0.01,7.88,6.15,10,2.32,6.5,5.3,6.51,1.74,"Sim","Sim","Não","Não","Não","Não","Não"
"27","centro goiano",2.40366478019672,5.57,4.96,5.61,0.79,2.92,4.94,6.28,4.82,4.69,0.94,0.36,0.19,6.9,7.11,4.63,5.23,7.1,5.8,6.66,1.9,"Sim","Sim","Não","Não","Sim","Não","Sim"
"28","centro goiano",2.39284807134896,0.63,6.34,8.88,1.75,5.68,6.55,6.33,10,5.75,0.28,10,10,8.2,5.22,2.15,10,5.9,5.3,8.4,3.03,"Sim","Sim","Sim","Sim","Sim","Sim","Sim"
"29","noroeste goiano",2.29749390842959,5.58,6.58,5.28,0.67,2.03,7.14,4.41,5.76,4.68,0.69,0.04,0.06,6.68,5.41,4.05,1.17,6.5,5.7,7.78,1.92,"Sim","Não","Sim","Sim","Sim","Não","Sim"
"30","Sul goiano",2.48695392833772,6.84,7.16,3.12,2.52,3.86,6.52,3.91,4.76,5.05,3.17,0.38,0.19,5.49,6.14,2.68,3.57,5.9,5.1,8.58,3.61,"Sim","Sim","Não","Não","Não","Não","Sim"
"31","centro goiano",2.180644047189,8.98,8.19,3.96,0.47,1.2,5.74,0.01,4.27,4.11,0.15,0,0,10,7.97,4.16,0,6.6,5.1,10,0.59,"Sim","Sim","Não","Não","Não","Não","Não"
"32","Sul goiano",2.29159047949295,7.07,6.28,6.4,1.03,2.46,6.33,0,2.62,4.32,0.6,0.08,0.04,0,5.67,4.02,4.1,6.1,4.7,7.1,2.45,"Sim","Sim","Não","Não","Não","Não","Não"
"33","centro goiano",2.39295819021126,6.3,7.77,3.96,0.81,2.66,6.32,5.85,5.26,5.11,1.04,0.26,0.15,7.44,8.61,3.39,3.73,6.3,5.5,9.16,1.54,"Sim","Sim","Não","Não","Não","Não","Sim"
