cod_ibge;msau39;msau3911;msau3912;msau3913;msau3914;msau3915;msau3916;msau3917;msau3918;mppm01;mppm11;mppm13;mppm20;mppm23
1100601;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1101468;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1101807;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1300631;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1502905;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1503101;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1503606;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim
1504752;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1508126;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1703073;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não
1703826;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1715101;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
1721307;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2101970;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2105609;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2106102;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2109304;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não
2110906;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2112456;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2501005;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim
2504850;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2509206;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2513943;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2514602;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2604700;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não
2611200;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não
2614303;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não
2615706;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não
2701605;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2901908;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2907905;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3100203;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
3102803;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3104403;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3105301;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3105905;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
3107000;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3108404;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3110707;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3111101;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3112208;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3112406;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3113107;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3114808;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3115706;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
3117702;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
3118502;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3120201;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3123601;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não
3124500;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3124609;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3127107;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
3127370;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
3128709;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim
3129400;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3133402;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3134905;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3138401;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
3139508;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
3140506;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3140530;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3142304;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3145901;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim
3146602;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3147204;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3147501;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3147808;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3150000;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
3150208;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3151107;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3152402;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3152808;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3154705;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
3156452;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3158201;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3159100;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não
3161908;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3162005;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3164407;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3165305;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3165560;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3166006;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3166204;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3166402;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3167301;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3170438;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3201100;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3203007;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3204252;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3204500;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3302056;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
3504008;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
3504701;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3504909;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3507159;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3512605;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3516507;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3518404;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
3521101;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3534203;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3534757;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3536109;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3537156;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3538204;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3538501;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3539707;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3541109;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3541802;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3544509;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3545100;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3549300;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3550001;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3551207;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3551504;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3553005;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
3554706;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
